ID	Lat	Lon	Average	Variance	Votes	Geograph URI
1	51.7026	-2.20985	4.1111	1.8765	4,5,3,5,1,4,4,5,6	http://www.geograph.org.uk/photo/7
2	51.7026	-2.19538	4.0000	0.5000	4,4,3,5,4,3,5,4	http://www.geograph.org.uk/photo/8
3	51.7116	-2.18094	4.2222	2.1728	5,4,6,5,3,4,1,4,6	http://www.geograph.org.uk/photo/11
4	53.311	-2.51786	3.8000	7.7600	2,4,1,9,3	http://www.geograph.org.uk/photo/20
5	53.3021	-2.50274	4.1667	3.4722	8,4,2,4,3,4	http://www.geograph.org.uk/photo/22
6	54.1311	-4.50266	7.5000	2.7500	5,7,9,9	http://www.geograph.org.uk/photo/30
7	54.1491	-4.50374	5.1250	3.8594	4,7,5,7,8,5,3,2	http://www.geograph.org.uk/photo/31
8	54.2764	-4.43464	8.5000	3.0000	6,10,10,10,10,6,7,9	http://www.geograph.org.uk/photo/35
9	54.2857	-4.41982	6.5714	3.3878	8,3,8,5,8,6,8	http://www.geograph.org.uk/photo/36
10	54.286	-4.40447	7.2857	8.4898	9,10,4,10,5,3,10	http://www.geograph.org.uk/photo/38
11	53.3114	-3.52362	5.5000	4.2500	3,7,8,4	http://www.geograph.org.uk/photo/99
12	54.3742	-0.637457	4.8333	1.1389	6,6,5,4,5,3	http://www.geograph.org.uk/photo/101
13	53.3291	-2.50306	3.1667	2.1389	2,2,2,3,6,4	http://www.geograph.org.uk/photo/117
14	53.2685	-3.35712	5.0000	0.4000	5,5,6,4,5	http://www.geograph.org.uk/photo/124
15	53.32	-2.51797	4.2857	3.3469	4,8,2,3,5,3,5	http://www.geograph.org.uk/photo/125
16	53.3201	-2.50296	3.5714	1.6735	3,5,3,6,3,2,3	http://www.geograph.org.uk/photo/126
17	51.2556	-0.76031	2.4000	0.2400	2,2,3,2,3	http://www.geograph.org.uk/photo/177
18	51.3742	-0.929539	3.4286	0.8163	3,4,3,2,5,4,3	http://www.geograph.org.uk/photo/188
19	51.366	-1.03029	3.1250	5.3594	2,4,5,1,1,1,8,3	http://www.geograph.org.uk/photo/196
20	51.3754	-1.0732	3.2500	1.6875	4,1,4,4	http://www.geograph.org.uk/photo/200
21	51.3667	-1.11648	3.4286	1.9592	2,2,2,6,4,4,4	http://www.geograph.org.uk/photo/204
22	51.3756	-1.10194	3.3750	1.9844	6,5,2,2,2,3,3,4	http://www.geograph.org.uk/photo/206
23	50.9718	0.893336	4.1111	1.8765	5,3,2,7,5,4,4,4,3	http://www.geograph.org.uk/photo/222
24	50.7945	-1.95034	3.8571	3.2653	1,4,2,6,6,3,5	http://www.geograph.org.uk/photo/251
25	50.8213	-1.82252	2.5714	0.2449	3,2,2,3,3,2,3	http://www.geograph.org.uk/photo/252
26	51.0692	1.06203	3.4444	2.2469	1,2,2,5,3,3,5,5,5	http://www.geograph.org.uk/photo/265
27	51.3739	-0.900807	1.4286	0.2449	1,2,2,1,2,1,1	http://www.geograph.org.uk/photo/273
28	51.365	-0.915385	3.7500	1.3542	3,4,4,4,1,4,5,4,4,6,3,3	http://www.geograph.org.uk/photo/274
29	51.3921	-0.929119	3.3333	2.2222	1,5,2,3,5,4	http://www.geograph.org.uk/photo/277
30	51.3832	-0.929329	3.2727	2.1983	6,1,2,3,4,2,6,3,3,3,3	http://www.geograph.org.uk/photo/278
